,rank,rankOldAndNew,movieCd,movieNm,salesAmt,audiCnt,scrnCnt,showCnt,targetDate
724,5,OLD,20170241,23 아이덴티티,50985000,6632,371,888,20170314
725,6,OLD,20168750,파도가 지나간 자리,46426700,6173,276,521,20170314
726,7,OLD,20167904,라라랜드,40103000,5373,192,353,20170314
727,8,NEW,20162181,프리즌,30603000,3788,14,14,20170314
728,9,OLD,20165927,문라이트,21152900,2872,135,246,20170314
729,10,OLD,20170761,걸 온 더 트레인,16474400,2287,279,491,20170314
730,1,OLD,20168183,콩: 스컬 아일랜드,429128900,55370,899,4255,20170315
731,2,OLD,20161827,로건,305984100,39860,819,3207,20170315
732,3,OLD,20150971,해빙,75278100,10218,498,1657,20170315
733,4,OLD,20166421,재심,50404400,6939,383,868,20170315
734,5,OLD,20170241,23 아이덴티티,46469000,6130,376,885,20170315
735,6,OLD,20168750,파도가 지나간 자리,41239300,5774,271,513,20170315
736,7,OLD,20167904,라라랜드,39728900,5353,180,363,20170315
737,8,OLD,20165927,문라이트,20494000,2788,137,241,20170315
738,9,OLD,20170761,걸 온 더 트레인,17036000,2367,287,492,20170315
739,10,OLD,20158799,눈길,13373500,2091,196,279,20170315
740,1,NEW,20164721,미녀와 야수,1322211700,166930,1244,5726,20170316
741,2,OLD,20168183,콩: 스컬 아일랜드,272140800,36007,619,2546,20170316
742,3,OLD,20161827,로건,189382300,24933,491,1572,20170316
743,4,OLD,20167905,비정규직 특수요원,156722400,21892,448,1763,20170316
744,5,OLD,20178942,스페이스 비트윈 어스,31717200,4401,347,996,20170316
745,6,OLD,20150971,해빙,26521000,3571,243,585,20170316
746,7,OLD,20167904,라라랜드,24842000,3355,140,215,20170316
747,8,OLD,20166421,재심,17645500,2575,152,226,20170316
748,9,OLD,20168750,파도가 지나간 자리,14890400,2074,101,169,20170316
749,10,OLD,20165927,문라이트,12024400,1613,89,127,20170316
750,1,OLD,20164721,미녀와 야수,2040619869,234961,1260,6028,20170317
751,2,OLD,20168183,콩: 스컬 아일랜드,432709409,51534,641,2646,20170317
752,3,OLD,20161827,로건,301108131,35023,492,1642,20170317
753,4,OLD,20167905,비정규직 특수요원,159589500,20211,467,1747,20170317
754,5,OLD,20162181,프리즌,74826000,8314,42,42,20170317
755,6,OLD,20178942,스페이스 비트윈 어스,42527622,5267,361,1009,20170317
756,7,OLD,20150971,해빙,36183600,4267,251,613,20170317
757,8,OLD,20167904,라라랜드,34555700,4086,144,222,20170317
758,9,OLD,20168750,파도가 지나간 자리,21557000,2664,105,177,20170317
759,10,OLD,20166421,재심,19252300,2316,142,221,20170317
760,1,OLD,20164721,미녀와 야수,5146353230,602569,1611,7886,20170318
761,2,OLD,20168183,콩: 스컬 아일랜드,1173127731,141266,644,2630,20170318
762,3,OLD,20161827,로건,599544870,69438,521,1589,20170318
763,4,OLD,20167905,비정규직 특수요원,287146100,35653,493,1550,20170318
764,5,OLD,20167904,라라랜드,71696500,8356,149,231,20170318
765,6,OLD,20150971,해빙,69499100,8190,253,513,20170318
766,7,OLD,20178942,스페이스 비트윈 어스,51184539,6407,370,701,20170318
767,8,OLD,20168750,파도가 지나간 자리,35658300,4230,101,153,20170318
768,9,OLD,20166421,재심,30095000,3601,124,189,20170318
769,10,OLD,20165927,문라이트,28636800,3286,79,119,20170318
770,1,OLD,20164721,미녀와 야수,4781249450,564477,1627,7757,20170319
771,2,OLD,20168183,콩: 스컬 아일랜드,1033908800,124872,630,2554,20170319
772,3,OLD,20161827,로건,470969700,54260,517,1534,20170319
773,4,OLD,20167905,비정규직 특수요원,271455700,33426,497,1460,20170319
774,5,OLD,20167904,라라랜드,66277800,7953,156,247,20170319
775,6,OLD,20150971,해빙,54972900,6417,250,487,20170319
776,7,OLD,20178942,스페이스 비트윈 어스,37604000,4726,360,598,20170319
777,8,OLD,20168750,파도가 지나간 자리,29447400,3583,102,146,20170319
778,9,OLD,20166421,재심,24776300,2943,120,172,20170319
779,10,OLD,20165927,문라이트,23856700,2770,73,115,20170319
780,1,OLD,20164721,미녀와 야수,1124594800,144248,1336,6305,20170320
781,2,OLD,20168183,콩: 스컬 아일랜드,184077300,24550,589,2352,20170320
782,3,OLD,20161827,로건,145551600,19285,508,1596,20170320
783,4,OLD,20167905,비정규직 특수요원,87410500,12282,453,1518,20170320
784,5,OLD,20167904,라라랜드,24374000,3252,161,264,20170320
785,6,NEW,20167902,보통사람,20664000,2583,12,12,20170320
786,7,OLD,20178942,스페이스 비트윈 어스,15571500,2191,327,626,20170320
787,8,OLD,20150971,해빙,15804000,2104,226,469,20170320
788,9,OLD,20168750,파도가 지나간 자리,14218000,2072,105,185,20170320
789,10,OLD,20162181,프리즌,19302000,1731,17,17,20170320
790,1,OLD,20164721,미녀와 야수,1057859200,136339,1352,6325,20170321
791,2,OLD,20168183,콩: 스컬 아일랜드,163342300,21644,594,2347,20170321
792,3,OLD,20161827,로건,131476900,17445,500,1577,20170321
793,4,OLD,20167905,비정규직 특수요원,78123900,11076,442,1476,20170321
794,5,OLD,20167904,라라랜드,29134600,3929,158,272,20170321
795,6,OLD,20162181,프리즌,28259000,3551,13,13,20170321
796,7,OLD,20168750,파도가 지나간 자리,16509000,2383,114,195,20170321
797,8,OLD,20178942,스페이스 비트윈 어스,16336000,2287,317,627,20170321
798,9,OLD,20150971,해빙,16639000,2223,232,463,20170321
799,10,OLD,20166421,재심,12502000,1952,147,222,20170321
800,1,OLD,20164721,미녀와 야수,959937600,124015,1318,5424,20170322
801,2,OLD,20162181,프리즌,661246800,85056,871,2417,20170322
802,3,OLD,20168183,콩: 스컬 아일랜드,106774000,14507,609,1816,20170322
803,4,OLD,20161827,로건,91521200,12272,515,1211,20170322
804,5,OLD,20167905,비정규직 특수요원,37781100,5583,408,907,20170322
805,6,OLD,20170221,골드,31233800,4355,200,485,20170322
806,7,OLD,20168742,아우토반,26823000,3707,149,601,20170322
807,8,OLD,20167904,라라랜드,25396700,3464,148,223,20170322
808,9,OLD,20168750,파도가 지나간 자리,12231500,1803,107,154,20170322
809,10,OLD,20165927,문라이트,8963400,1454,78,110,20170322
810,1,OLD,20162181,프리즌,1257773300,168336,909,4234,20170323
811,2,OLD,20164721,미녀와 야수,779664700,99762,896,4063,20170323
812,3,OLD,20167902,보통사람,248145500,35583,621,2604,20170323
813,4,OLD,20167363,히든 피겨스,117138800,15834,419,1241,20170323
814,5,OLD,20168183,콩: 스컬 아일랜드,41786200,5696,386,783,20170323
815,6,NEW,20179442,밤의 해변에서 혼자,35911400,5022,129,327,20170323
816,7,OLD,20161827,로건,28473600,3778,212,324,20170323
817,8,NEW,20151230,원라인,23384000,2923,9,9,20170323
818,9,OLD,20170221,골드,16349500,2252,197,435,20170323
819,10,NEW,20171801,극장판 암살교실 : 365일의 시간,16298000,2240,86,151,20170323
820,1,OLD,20162181,프리즌,1641165534,194224,942,4453,20170324
821,2,OLD,20164721,미녀와 야수,1371221755,158998,939,4338,20170324
822,3,OLD,20167902,보통사람,343195434,43460,620,2617,20170324
823,4,OLD,20167363,히든 피겨스,177781061,21300,413,1256,20170324
824,5,OLD,20168183,콩: 스컬 아일랜드,69832300,8564,387,770,20170324
825,6,OLD,20161827,로건,49573200,5647,213,325,20170324
826,7,OLD,20151230,원라인,40297000,4477,23,23,20170324
827,8,OLD,20179442,밤의 해변에서 혼자,35825700,4372,128,313,20170324
828,9,OLD,20168742,아우토반,24466500,2927,140,500,20170324
829,10,OLD,20170221,골드,21923100,2659,190,411,20170324
830,1,OLD,20164721,미녀와 야수,3859719239,456409,1221,5451,20170325
831,2,OLD,20162181,프리즌,3439513889,403084,1047,4889,20170325
832,3,OLD,20167902,보통사람,708074189,86992,619,2402,20170325
833,4,OLD,20167363,히든 피겨스,373358372,44551,436,1122,20170325
834,5,OLD,20168183,콩: 스컬 아일랜드,206573300,25654,399,696,20170325
835,6,OLD,20161827,로건,69019800,8114,186,257,20170325
836,7,OLD,20171801,극장판 암살교실 : 365일의 시간,54871000,7413,90,153,20170325
837,8,OLD,20171661,아기돼지 3형제와 매직램프,45994500,5772,129,184,20170325
838,9,OLD,20179442,밤의 해변에서 혼자,45793400,5450,116,268,20170325
839,10,OLD,20168742,아우토반,33075500,3950,153,370,20170325
840,1,OLD,20164721,미녀와 야수,3471299150,413463,1256,5410,20170326
841,2,OLD,20162181,프리즌,3170344300,369870,1036,4772,20170326
842,3,OLD,20167902,보통사람,679910200,82796,598,2236,20170326
843,4,OLD,20167363,히든 피겨스,354333200,42356,448,1099,20170326
844,5,OLD,20168183,콩: 스컬 아일랜드,195247600,24466,391,670,20170326
845,6,OLD,20171801,극장판 암살교실 : 365일의 시간,51825500,6999,98,167,20170326
846,7,OLD,20171661,아기돼지 3형제와 매직램프,53321000,6671,135,196,20170326
847,8,OLD,20161827,로건,53609200,6243,174,247,20170326
848,9,OLD,20179442,밤의 해변에서 혼자,41811700,4964,113,252,20170326
849,10,OLD,20170382,개구리왕국 2,30011900,4023,171,197,20170326
850,1,OLD,20162181,프리즌,987093300,131499,962,4551,20170327
851,2,OLD,20164721,미녀와 야수,628933400,81433,961,4373,20170327
852,3,OLD,20167902,보통사람,189136800,26302,557,2252,20170327
853,4,OLD,20167363,히든 피겨스,135567800,18345,424,1289,20170327
854,5,OLD,20168183,콩: 스컬 아일랜드,29674400,4034,337,632,20170327
855,6,OLD,20179442,밤의 해변에서 혼자,25026300,3466,133,314,20170327
856,7,OLD,20161827,로건,25127100,3334,222,332,20170327
857,8,OLD,20170221,골드,13034800,2005,163,317,20170327
858,9,NEW,20167364,미스 슬로운,15556000,1848,9,9,20170327
859,10,OLD,20168742,아우토반,11449500,1564,135,338,20170327
860,1,OLD,20162181,프리즌,809719450,108066,977,4555,20170328
861,2,OLD,20164721,미녀와 야수,570227800,73783,974,4327,20170328
862,3,OLD,20167902,보통사람,173810700,24083,567,2225,20170328
863,4,OLD,20167363,히든 피겨스,135417700,18363,447,1297,20170328
864,5,OLD,20168183,콩: 스컬 아일랜드,26634300,3668,346,627,20170328
865,6,OLD,20179442,밤의 해변에서 혼자,25777200,3641,128,305,20170328
866,7,OLD,20161827,로건,23002800,3095,217,321,20170328
867,8,OLD,20171781,패트리어트 데이,16736000,2092,31,31,20170328
868,9,OLD,20168742,아우토반,14320000,1894,141,338,20170328
869,10,OLD,20167904,라라랜드,12669500,1740,86,114,20170328
870,1,OLD,20162181,프리즌,808985100,136337,785,3363,20170329
871,2,OLD,20164721,미녀와 야수,699627100,122513,758,2900,20170329
872,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,749148100,114618,763,3784,20170329
873,4,NEW,20151230,원라인,305148800,53333,613,2376,20170329
874,5,OLD,20167363,히든 피겨스,121064400,20436,356,713,20170329
875,6,OLD,20167902,보통사람,95416800,15679,437,893,20170329
876,7,OLD,20167005,데스노트: 더 뉴 월드,30307000,4947,309,564,20170329
877,8,OLD,20167364,미스 슬로운,20345100,3474,102,255,20170329
878,9,OLD,20179442,밤의 해변에서 혼자,20564400,3294,82,204,20170329
879,10,OLD,20167904,라라랜드,8181000,1249,52,57,20170329
880,1,OLD,20162181,프리즌,609911900,81339,771,3383,20170330
881,2,OLD,20164721,미녀와 야수,476170800,62955,740,2953,20170330
882,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,491421600,61598,752,3755,20170330
883,4,OLD,20151230,원라인,222913700,30533,594,2309,20170330
884,5,OLD,20167363,히든 피겨스,91961000,12382,324,679,20170330
885,6,OLD,20167902,보통사람,58168900,8311,393,780,20170330
886,7,OLD,20167005,데스노트: 더 뉴 월드,27082100,3559,297,527,20170330
887,8,OLD,20167364,미스 슬로운,20044800,2756,102,273,20170330
888,9,NEW,20167901,어느날,17048000,2431,7,12,20170330
889,10,OLD,20161923,시간위의 집,17456000,2182,11,11,20170330
890,1,OLD,20162181,프리즌,934868387,111341,820,3611,20170331
891,2,OLD,20164721,미녀와 야수,879491663,106055,811,3237,20170331
892,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,746064666,85348,761,3841,20170331
893,4,OLD,20151230,원라인,336022913,41698,589,2228,20170331
894,5,OLD,20167363,히든 피겨스,152744900,18709,351,739,20170331
895,6,OLD,20167902,보통사람,77861500,9908,391,755,20170331
896,7,OLD,20167364,미스 슬로운,28563800,3486,104,268,20170331
897,8,OLD,20167005,데스노트: 더 뉴 월드,28512434,3458,290,496,20170331
898,9,OLD,20179442,밤의 해변에서 혼자,19476100,2433,71,167,20170331
899,10,OLD,20164926,분노,13750566,1705,96,146,20170331
900,1,OLD,20164721,미녀와 야수,2553235820,306314,1105,4370,20170401
901,2,OLD,20162181,프리즌,1938640180,224529,908,3854,20170401
902,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,1568756471,177091,807,3742,20170401
903,4,OLD,20151230,원라인,707181120,86002,584,1908,20170401
904,5,OLD,20167363,히든 피겨스,281831500,33452,350,706,20170401
905,6,OLD,20167902,보통사람,117118300,14710,362,604,20170401
906,7,OLD,20167005,데스노트: 더 뉴 월드,48400829,5865,273,398,20170401
907,8,OLD,20167364,미스 슬로운,41437700,4865,101,215,20170401
908,9,OLD,20171661,아기돼지 3형제와 매직램프,30529000,3895,87,117,20170401
909,10,OLD,20179442,밤의 해변에서 혼자,26397700,3173,71,157,20170401
910,1,OLD,20164721,미녀와 야수,1989683400,239654,1123,4362,20170402
911,2,OLD,20162181,프리즌,1538943500,178045,881,3766,20170402
912,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,1141560200,129863,759,3589,20170402
913,4,OLD,20151230,원라인,572810800,69577,558,1838,20170402
914,5,OLD,20167363,히든 피겨스,223360000,26517,340,700,20170402
915,6,OLD,20167902,보통사람,100369500,12477,365,592,20170402
916,7,OLD,20167005,데스노트: 더 뉴 월드,36510300,4427,267,378,20170402
917,8,OLD,20167364,미스 슬로운,35550100,4182,98,217,20170402
918,9,OLD,20171661,아기돼지 3형제와 매직램프,30216000,3789,90,119,20170402
919,10,OLD,20171801,극장판 암살교실 : 365일의 시간,18383500,2469,65,84,20170402
920,1,OLD,20162181,프리즌,457732200,60719,787,3505,20170403
921,2,OLD,20164721,미녀와 야수,375622700,49485,790,3181,20170403
922,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,262878300,33326,736,3252,20170403
923,4,OLD,20151230,원라인,181142200,24601,554,1877,20170403
924,5,OLD,20167363,히든 피겨스,73050300,9860,356,794,20170403
925,6,NEW,20171381,라이프,41948200,5420,341,540,20170403
926,7,OLD,20167902,보통사람,36624700,5215,366,667,20170403
927,8,OLD,20167364,미스 슬로운,17182500,2335,101,241,20170403
928,9,OLD,20167005,데스노트: 더 뉴 월드,11777000,1547,241,345,20170403
929,10,OLD,20179442,밤의 해변에서 혼자,10346500,1433,64,160,20170403
930,1,OLD,20162181,프리즌,387888000,51701,791,3402,20170404
931,2,OLD,20164721,미녀와 야수,332139100,44223,791,3120,20170404
932,3,OLD,20163194,공각기동대 : 고스트 인 더 쉘,233762300,29398,732,3183,20170404
933,4,OLD,20151230,원라인,159543600,21754,551,1863,20170404
934,5,OLD,20167363,히든 피겨스,70593200,9688,360,779,20170404
935,6,OLD,20171381,라이프,57603300,7348,351,558,20170404
936,7,OLD,20167902,보통사람,37550500,5329,368,661,20170404
937,8,NEW,20167901,어느날,18284000,2543,12,14,20170404
938,9,OLD,20167364,미스 슬로운,16126500,2182,102,228,20170404
939,10,OLD,20167005,데스노트: 더 뉴 월드,11533300,1543,232,328,20170404
940,1,OLD,20162181,프리즌,385939900,51173,661,2775,20170405
941,2,OLD,20171381,라이프,330951300,42630,533,2773,20170405
942,3,OLD,20164721,미녀와 야수,321218300,42189,620,2546,20170405
943,4,OLD,20167901,어느날,180031700,24326,457,1933,20170405
944,5,OLD,20163194,공각기동대 : 고스트 인 더 쉘,146268600,19047,482,1829,20170405
945,6,OLD,20161923,시간위의 집,116057900,15518,407,1657,20170405
946,7,OLD,20151230,원라인,103658400,14339,398,1068,20170405
947,8,OLD,20167363,히든 피겨스,65012600,8802,260,617,20170405
948,9,OLD,20167902,보통사람,12324500,1782,116,187,20170405
949,10,OLD,20167364,미스 슬로운,13234000,1740,76,149,20170405
950,1,OLD,20162181,프리즌,356401900,47467,583,2430,20170406
951,2,OLD,20164721,미녀와 야수,313495100,41678,577,2290,20170406
952,3,OLD,20171381,라이프,304648400,39646,529,2687,20170406
953,4,OLD,20167901,어느날,174698300,23785,485,1885,20170406
954,5,OLD,20163194,공각기동대 : 고스트 인 더 쉘,116611100,15135,454,1462,20170406
955,6,OLD,20161923,시간위의 집,106854100,14459,410,1525,20170406
956,7,OLD,20151230,원라인,73909200,10056,347,736,20170406
957,8,OLD,20171781,패트리어트 데이,69011900,9580,373,1176,20170406
958,9,OLD,20167363,히든 피겨스,57879400,7737,244,496,20170406
959,10,NEW,20173444,링스,14705500,1880,103,155,20170406
960,1,OLD,20164721,미녀와 야수,491753723,58295,623,2447,20170407
961,2,OLD,20162181,프리즌,445426377,52309,627,2572,20170407
962,3,OLD,20171381,라이프,432421560,50620,563,2750,20170407
963,4,OLD,20167901,어느날,226586440,27619,480,1947,20170407
964,5,OLD,20163194,공각기동대 : 고스트 인 더 쉘,144271277,16857,474,1442,20170407
965,6,OLD,20161923,시간위의 집,136436100,16466,422,1483,20170407
966,7,OLD,20151230,원라인,93173200,11864,350,729,20170407
967,8,OLD,20171781,패트리어트 데이,84964160,10577,372,1119,20170407
968,9,OLD,20167363,히든 피겨스,86229400,10255,272,500,20170407
969,10,OLD,20173444,링스,28133700,3279,117,289,20170407
970,1,OLD,20164721,미녀와 야수,1301207080,153866,959,3531,20170408
971,2,OLD,20162181,프리즌,885023470,102167,743,2966,20170408
972,3,OLD,20171381,라이프,855330058,98099,643,2830,20170408
973,4,OLD,20167901,어느날,357223742,42573,532,1960,20170408
974,5,OLD,20163194,공각기동대 : 고스트 인 더 쉘,245795770,28396,483,1305,20170408
975,6,OLD,20161923,시간위의 집,188736700,22522,454,1224,20170408
976,7,OLD,20151230,원라인,177451000,21191,349,689,20170408
977,8,OLD,20167363,히든 피겨스,149994900,17255,249,469,20170408
978,9,OLD,20171781,패트리어트 데이,114952158,13910,375,835,20170408
979,10,OLD,20162607,슈퍼 버드,49484100,6629,288,405,20170408
980,1,OLD,20164721,미녀와 야수,1132454900,134921,942,3487,20170409
981,2,OLD,20162181,프리즌,831151600,95374,725,2879,20170409
982,3,OLD,20171381,라이프,742426800,85946,647,2774,20170409
983,4,OLD,20167901,어느날,330713300,39445,528,1878,20170409
984,5,OLD,20163194,공각기동대 : 고스트 인 더 쉘,203877800,23476,482,1236,20170409
985,6,OLD,20161923,시간위의 집,196860300,23382,453,1172,20170409
986,7,OLD,20151230,원라인,148323000,17863,340,671,20170409
987,8,OLD,20167363,히든 피겨스,128260000,14972,257,471,20170409
988,9,OLD,20171781,패트리어트 데이,105087900,12674,366,801,20170409
989,10,OLD,20162607,슈퍼 버드,52153200,6889,285,404,20170409
990,1,OLD,20162181,프리즌,241795200,32013,638,2591,20170410
991,2,OLD,20164721,미녀와 야수,204786000,26982,646,2414,20170410
992,3,OLD,20171381,라이프,188833100,24592,561,2551,20170410
993,4,OLD,20167901,어느날,109365400,14789,468,1767,20170410
994,5,OLD,20161923,시간위의 집,69520100,9388,407,1149,20170410
995,6,OLD,20163194,공각기동대 : 고스트 인 더 쉘,59374500,7628,437,1205,20170410
996,7,OLD,20151230,원라인,45354700,6180,332,703,20170410
997,8,OLD,20167363,히든 피겨스,40655000,5457,247,514,20170410
998,9,OLD,20171781,패트리어트 데이,37725500,5263,342,831,20170410
999,10,OLD,20040525,패션 오브 크라이스트,13086900,1796,111,222,20170410
1000,1,OLD,20162181,프리즌,234043000,31082,646,2585,20170411
1001,2,OLD,20164721,미녀와 야수,193871700,25764,650,2426,20170411
1002,3,OLD,20171381,라이프,171066400,22231,572,2509,20170411
1003,4,OLD,20167901,어느날,108513000,14926,465,1747,20170411
1004,5,OLD,20161923,시간위의 집,67753300,9265,412,1146,20170411
1005,6,OLD,20163194,공각기동대 : 고스트 인 더 쉘,54814700,7082,438,1171,20170411
1006,7,OLD,20151230,원라인,44535800,6140,346,718,20170411
1007,8,OLD,20167363,히든 피겨스,42301600,5702,249,506,20170411
1008,9,OLD,20171781,패트리어트 데이,39111000,5368,338,828,20170411
1009,10,OLD,20040525,패션 오브 크라이스트,15084500,2083,115,235,20170411
1010,1,OLD,20167542,분노의 질주: 더 익스트림,1620818400,208481,1238,6040,20170412
1011,2,OLD,20151227,아빠는 딸,244461600,33396,460,2092,20170412
1012,3,OLD,20164721,미녀와 야수,146019500,19461,500,1599,20170412
1013,4,OLD,20162181,프리즌,132616200,17603,451,1573,20170412
1014,5,OLD,20171381,라이프,69900800,9312,460,1091,20170412
1015,6,OLD,20167901,어느날,41295000,5737,324,672,20170412
1016,7,OLD,20167363,히든 피겨스,27194100,3697,164,269,20170412
1017,8,OLD,20161923,시간위의 집,16135700,2188,152,242,20170412
1018,9,OLD,20163194,공각기동대 : 고스트 인 더 쉘,11088400,1533,151,242,20170412
1019,10,OLD,20040525,패션 오브 크라이스트,10126900,1392,113,194,20170412
1020,1,OLD,20167542,분노의 질주: 더 익스트림,1255361100,162386,1295,6189,20170413
1021,2,OLD,20151227,아빠는 딸,234205600,31745,464,2131,20170413
1022,3,OLD,20164721,미녀와 야수,127748400,16951,476,1495,20170413
1023,4,OLD,20162181,프리즌,112757400,14899,445,1497,20170413
1024,5,OLD,20171381,라이프,56112000,7526,425,958,20170413
1025,6,OLD,20167901,어느날,30511400,4092,290,543,20170413
1026,7,OLD,20167363,히든 피겨스,24536500,3334,160,245,20170413
1027,8,NEW,20173690,흑집사 -북 오브 더 아틀란틱-,22089000,3011,80,144,20170413
1028,9,OLD,20170741,지니어스,21148400,2955,167,293,20170413
1029,10,OLD,20040525,패션 오브 크라이스트,14628700,2113,126,209,20170413
1030,1,OLD,20167542,분노의 질주: 더 익스트림,1950147738,227537,1337,6505,20170414
1031,2,OLD,20151227,아빠는 딸,361455162,44942,478,2170,20170414
1032,3,OLD,20164721,미녀와 야수,224104900,26570,506,1606,20170414
1033,4,OLD,20162181,프리즌,174922600,20584,472,1555,20170414
1034,5,OLD,20171381,라이프,95545038,11584,457,998,20170414
1035,6,OLD,20167363,히든 피겨스,46254200,5519,168,265,20170414
1036,7,OLD,20167901,어느날,43002200,5249,302,563,20170414
1037,8,OLD,20170741,지니어스,19401200,2401,172,294,20170414
1038,9,OLD,20173690,흑집사 -북 오브 더 아틀란틱-,18059000,2211,82,140,20170414
1039,10,OLD,20040525,패션 오브 크라이스트,16176800,2093,126,209,20170414
1040,1,OLD,20167542,분노의 질주: 더 익스트림,3791412254,437834,1469,7330,20170415
1041,2,OLD,20151227,아빠는 딸,684514546,83474,501,2171,20170415
1042,3,OLD,20164721,미녀와 야수,579015800,68987,652,2047,20170415
1043,4,OLD,20162181,프리즌,275359500,32038,494,1310,20170415
1044,5,OLD,20171381,라이프,136043954,15973,429,803,20170415
1045,6,OLD,20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,54129000,7713,141,229,20170415
1046,7,OLD,20167363,히든 피겨스,64924400,7544,166,240,20170415
1047,8,OLD,20167901,어느날,60173600,7129,275,463,20170415
1048,9,OLD,20174023,극장판 어드벤처 타임: 비밀의 아일랜드,42994200,5214,124,161,20170415
1049,10,OLD,20173690,흑집사 -북 오브 더 아틀란틱-,30071500,3852,94,156,20170415
1050,1,OLD,20167542,분노의 질주: 더 익스트림,3389522800,391851,1457,7141,20170416
1051,2,OLD,20151227,아빠는 딸,637588450,77429,520,2151,20170416
1052,3,OLD,20164721,미녀와 야수,484431100,57978,653,2002,20170416
1053,4,OLD,20162181,프리즌,226336700,26181,494,1258,20170416
1054,5,OLD,20171381,라이프,108426700,12784,416,760,20170416
1055,6,OLD,20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,54732500,7820,149,242,20170416
1056,7,OLD,20167363,히든 피겨스,53479000,6236,157,236,20170416
1057,8,OLD,20167901,어느날,49193800,5829,280,439,20170416
1058,9,OLD,20174023,극장판 어드벤처 타임: 비밀의 아일랜드,46436200,5607,125,167,20170416
1059,10,OLD,20040525,패션 오브 크라이스트,24723800,3059,125,206,20170416
1060,1,OLD,20167542,분노의 질주: 더 익스트림,1127874400,147098,1294,6346,20170417
1061,2,OLD,20151227,아빠는 딸,215300600,29353,476,2165,20170417
1062,3,OLD,20164721,미녀와 야수,116009600,15468,487,1499,20170417
1063,4,OLD,20162181,프리즌,109731400,14531,449,1370,20170417
1064,5,OLD,20171381,라이프,44464000,6018,419,840,20170417
1065,6,NEW,20161726,임금님의 사건수첩,30394000,4118,8,20,20170417
1066,7,OLD,20167901,어느날,23167000,3263,286,494,20170417
1067,8,OLD,20167363,히든 피겨스,23414200,3237,156,266,20170417
1068,9,OLD,20170741,지니어스,12885300,1840,152,243,20170417
1069,10,OLD,20040525,패션 오브 크라이스트,9968500,1435,122,202,20170417
1070,1,OLD,20167542,분노의 질주: 더 익스트림,873006200,113803,1330,6294,20170418
1071,2,OLD,20151227,아빠는 딸,184595400,25263,500,2146,20170418
1072,3,OLD,20164721,미녀와 야수,100256700,13367,480,1470,20170418
1073,4,OLD,20162181,프리즌,81076700,10861,447,1322,20170418
1074,5,OLD,20171381,라이프,37019100,5030,405,802,20170418
1075,6,OLD,20167363,히든 피겨스,22011600,3019,163,276,20170418
1076,7,OLD,20167901,어느날,19877500,2781,283,483,20170418
1077,8,NEW,20162871,특별시민,20770600,2274,21,21,20170418
1078,9,OLD,20170741,지니어스,13400000,1885,152,255,20170418
1079,10,OLD,20151230,원라인,7851000,1488,84,114,20170418
1080,1,OLD,20167542,분노의 질주: 더 익스트림,807986000,105485,1309,6272,20170419
1081,2,OLD,20151227,아빠는 딸,178269900,24595,494,2117,20170419
1082,3,OLD,20164721,미녀와 야수,102272300,13702,478,1470,20170419
1083,4,OLD,20162181,프리즌,76113700,10127,447,1318,20170419
1084,5,OLD,20171381,라이프,36596700,4892,404,804,20170419
1085,6,OLD,20167363,히든 피겨스,25067200,3395,166,285,20170419
1086,7,OLD,20167901,어느날,19291700,2662,278,482,20170419
1087,8,OLD,20170741,지니어스,13607000,1891,155,264,20170419
1088,9,OLD,20161726,임금님의 사건수첩,10516000,1449,6,6,20170419
1089,10,OLD,20162722,보안관,10584000,1323,13,13,20170419
1090,1,OLD,20167542,분노의 질주: 더 익스트림,796386400,103894,1182,5641,20170420
1091,2,OLD,20151227,아빠는 딸,168443300,23368,474,1646,20170420
1092,3,OLD,20164721,미녀와 야수,82161800,11035,422,975,20170420
1093,4,NEW,20179662,파워레인져스: 더 비기닝,76845000,10413,431,1581,20170420
1094,5,NEW,20172541,오두막,43087800,6150,382,850,20170420
1095,6,OLD,20162181,프리즌,41412000,5497,332,629,20170420
1096,7,OLD,20174561,더 플랜,34363600,4533,147,310,20170420
1097,8,OLD,20173690,흑집사 -북 오브 더 아틀란틱-,28850500,4010,67,92,20170420
1098,9,NEW,20172125,파운더,27090800,3730,288,591,20170420
1099,10,NEW,20173121,콜로설,24375000,3367,305,625,20170420
1100,1,OLD,20167542,분노의 질주: 더 익스트림,1226790583,143780,1216,5906,20170421
1101,2,OLD,20151227,아빠는 딸,251202300,31140,516,1819,20170421
1102,3,OLD,20164721,미녀와 야수,142347600,16904,467,1054,20170421
1103,4,OLD,20179662,파워레인져스: 더 비기닝,97164983,11816,445,1437,20170421
1104,5,OLD,20172541,오두막,53860600,6827,396,848,20170421
1105,6,OLD,20162181,프리즌,54883700,6488,348,653,20170421
1106,7,OLD,20172125,파운더,35309000,4287,279,569,20170421
1107,8,OLD,20149317,가디언즈 오브 갤럭시,35160900,3941,72,195,20170421
