검색결과,,,,,,,,,,,,
구분,,,,,2016,,,,,,,
,,,,,요일별평균,,,,,,,
호선명,역명,행정구역,월,승하차,월요일,화요일,수요일,목요일,금요일,토요일,일요일,모든요일
2호선,강남,___역삼2동(서울강남),1월,총승하차,"247,898","254,622","253,782","231,089","177,791","100,601","248,355","211,807"
2호선,강남,___역삼2동(서울강남),2월,총승하차,"202,950","216,248","244,312","257,283","174,699","97,086","197,024","198,463"
2호선,강남,___역삼2동(서울강남),3월,총승하차,"199,293","221,391","222,924","247,493","190,933","113,123","221,027","203,495"
2호선,강남,___역삼2동(서울강남),4월,총승하차,"219,244","196,624","217,264","236,690","177,598","102,308","210,880","195,224"
2호선,강남,___역삼2동(서울강남),5월,총승하차,"211,862","228,118","199,096","221,388","172,244","104,363","211,108","190,969"
2호선,강남,___역삼2동(서울강남),6월,총승하차,"216,258","214,287","218,137","235,298","175,498","103,835","185,172","194,212"
2호선,강남,___역삼2동(서울강남),7월,총승하차,"245,801","254,926","253,928","258,258","185,179","113,603","246,243","218,993"
2호선,강남,___역삼2동(서울강남),8월,총승하차,"225,319","228,469","235,639","247,684","176,997","108,741","202,157","205,031"
2호선,강남,___역삼2동(서울강남),9월,총승하차,"210,254","180,381","180,775","207,771","172,952","105,136","210,823","182,031"
2호선,강남,___역삼2동(서울강남),10월,총승하차,"208,091","211,649","215,072","233,411","181,483","108,029","186,164","188,751"
2호선,강남,___역삼2동(서울강남),11월,총승하차,"209,284","210,633","214,553","237,325","189,767","109,605","206,330","197,663"
2호선,강남,___역삼2동(서울강남),12월,총승하차,"224,119","228,735","225,941","245,662","180,343","108,466","216,559","205,524"
