도서관명,열람좌석수
내동평생교육센터,20
중앙평생교육센터,15
상남평생교육센터,12
대방평생교육센터,26
사파평생교육센터,27
가음정평생교육센터,51
남산평생교육센터,20
남양평생교육센터,36
성주평생교육센터,36
웅남평생교육센터,25
용잠마을도서관,18
자여마을도서관,22
반딧불이도서관,30
봉림작은도서관,23
반림마을도서관,24
늘푸른도서관,20
대동디지털마을도서관,18
사파동성마을작은도서관,24
안민마을도서관,14
안민청솔마을도서관,28
반월작은도서관,63
부림희망작은도서관,24
무학산블루밍작은도서관,24
상곡어울림작은도서관,18
합성가고파작은도서관,35
봉암동작은도서관,21
위드파크환경도서관,45
숲속마을도서관,30
이미지작은도서관,16
책사랑내서마을도서관,40
하늘채문화의집,20
내서읍새마을문고,10
회원1동새마을문고,18
석전동새마을문고,22
회성동새마을문고,20
양덕1동새마을문고,6
양덕2동새마을문고,20
합성2동새마을문고,20
구암1동새마을문고,16
구암2동새마을문고,40
대동다숲새마을문고,15
우성아파트새마을문고,20
한림리츠빌새마을문고,12
의정부과학도서관,495
의정부정보도서관,587
의정부어린이도서관,189
의정부가재울도서관,240
의정부1동 작은도서관,29
의정부2동 작은도서관,15
의정부3동 작은도서관,13
호원1동 작은도서관,20
장암동 작은도서관,15
신곡1동 작은도서관,36
신곡2동 작은도서관,8
송산1동 작은도서관,36
송산2동 작은도서관,6
자금동 작은도서관,25
가능1동 작은도서관,36
흥선동 작은도서관,20
녹양동 작은도서관,17
희망 Library Center,16
서산시립도서관,482
서산시립대산도서관,132
서산어린이도서관,245
인지작은도서관,20
부석작은도서관,37
고북작은도서관,30
안심도서관,215
신천도서관,65
신암2동작은도서관,40
신암3동작은도서관,22
신천3동 작은도서관,40
신천4동 작은도서관,12
효목1동 작은도서관,12
효목2동 작은도서관,45
도평동 작은도서관,30
불로어울림 작은도서관,35
지저동 작은도서관,30
동촌역사 작은도서관,30
해안동 작은도서관,30
반야월역사 작은도서관,17
동구청 작은도서관,11
이진아기념도서관,238
남가좌새롬어린이도서관,75
홍은도담도서관,65
알음알음작은도서관,30
하늘샘작은도서관,18
북아현마을 북카페,35
아이누리작은도서관,39
햇살작은도서관,25
행복작은도서관,25
새싹작은도서관,40
꿈이있는작은도서관,26
문화촌어린이도서관,35
파랑새작은도서관,48
늘푸른열린작은도서관,23
가슴따뜻한작은도서관,18
이팝꽃향기작은도서관,6
안성시립중앙도서관,206
안성시립공도도서관,135
안성시립보개도서관,83
안성시립진사도서관,125
안성시립일죽도서관,21
풍림작은도서관,26
송정작은도서관,16
태산작은도서관,13
부영작은도서관,9
죽산작은도서관,28
삼죽작은도서관,42
대림동산작은도서관,10
목포공공도서관,1600
부안군립도서관,300
삼매봉도서관,216
중앙도서관,606
동부도서관,183
서부도서관,202
기적의도서관,280
안덕산방도서관,150
표선도서관,126
성산일출도서관,120
보목꿈터,28
상창바람소리,20
삼달리,20
동광해바른,40
(세화2리)갯머리,50
(신례1리)예촌,29
(중앙동)중앙꿈쟁이,50
(온평리)열운이,22
(토산1리)웃토산,20
(동홍동)퐁낭,43
용흥,25
연무도서관,204
연무도서관,204
강경도서관,46
강경도서관,46
광석빛돌작은도서관,32
상월주민자치도서관,44
은진면작은도서관,8
문학마을작은도서관,60
별똥별과학도서관,20
영어마을도서관,20
송강마을작은도서관,20
신성마을작은도서관,20
희망마을작은도서관,20
자운마을작은도서관,20
온천마을작은도서관,20
동화마을작은도서관,20
관평도서관,68
구암도서관,138
구즉도서관,271
진잠도서관,117
유성도서관,565
노은도서관,212
꿈나래어린이도서관,60
단비도서관,28
현안작은도서관,40
휘란작은도서관,60
글마루작은도서관,50
꿈벗도서관,86
동인천동작은도서관,12
용유동작은도서관,6
희망을주는도서관,27
하늘꿈작은도서관,25
개항장 마을문고 한중도서관,30
영온 도서관,6
하늘꿈 도서관,22
용유중앙도서관,13
강북문화정보도서관,282
강북청소년문화정보도서관,154
솔샘문화정보도서관,132
송중문화정보도서관,67
수유문화정보도서관,152
미아문화정보도서관,140
삼각산어린이도서관,182
가람작은도서관,48
초록동작은도서관,60
꿈자람책놀이터,30
해뜰 작은도서관,36
옹기종기 작은도서관,33
수명산 작은도서관,60
방그리나 작은도서관,34
채움 작은도서관,30
글벗누리 작은도서관,46
송정 작은도서관,30
책향기 작은도서관,48
도리샘 작은도서관,20
구암마을 작은도서관,35
도란도란쉼터 작은도서관,60
내발산 작은도서관,35
배다리 작은도서관,45
역마을 작은도서관,60
볏고을 작은도서관,20
책마루 작은도서관,50
옹달샘 작은도서관,30
꿈터 작은도서관,30
초록향기 작은도서관,28
큰마음 작은도서관,30
등마루골 작은도서관,56
생각열매 작은도서관,16
아리향기 작은도서관,40
가양도서관,411
꿈꾸는어린이도서관,271
우장산숲속도서관,166
길꽃어린이도서관,200
푸른들청소년도서관,103
강서영어도서관,177
곰달래도서관,70
등빛도서관,386
경상북도교육청 봉화도서관,300
거제시립장평도서관,305
거제시립옥포도서관,198
거제시립장승포도서관,164
거제시립수양도서관,250
거제시립하청도서관,170
참새미작은도서관,16
글밭작은도서관,23
남부면작은도서관,10
대아푸른솔작은도서관,40
덕산아내프리미엄아파트 작은도서관,34
모오리돌작은도서관,60
바람의언덕작은도서관,8
새마을문고작은도서관,20
성은작은도서관,6
옥포작은도서관,15
푸른숲작은도서관,80
파라미타작은도서관,12
힐나눔작은도서관,30
덕산아내프리미엄2차아파트작은도서관,16
벽산3차새마을작은도서관,38
벽산-e솔렌스힐2차작은도서관,24
국제작은도서관,40
참좋은작은도서관,28
e편한세상옥포아파트작은도서관,12
꽃바위작은도서관,25
화정작은도서관,20
전하작은도서관,34
남목작은도서관,27
동부도서관,1002
전라남도학생교육문화회관,296
수성구립범어도서관,510
수성구립용학도서관,410
수성구립책숲길도서관,77
수성구립물망이도서관,39
수성구립파동도서관,85
수성구립고산도서관,315
수성구립고산어린이도서관,75
수성구립사월역작은도서관,21
거창군립한마음도서관,404
장항공공도서관,90
장덕도서관,581
이야기꽃도서관,500
첨단도서관,389
신가도서관,254
운남어린이도서관,54
우정혁신LH2차책사랑,12
책나무그늘도서관,6
해송작은도서관,15
에뜰3차아름도서관,20
우정아이파크작은도서관,42
솔로몬도서관,18
단장골북카페,20
신월도서관,12
다난작은도서관,10
우암작은도서관,35
학성작은도서관,16
세린작은도서관,120
꿈틀꿈틀작은도서관,30
유곡푸르지오책마루도서관,32
책의숲,20
페다고지,30
어깨동무도서관,10
작은도서관 책마을,50
에일린의뜰문고,20
남외푸르지오문고,20
꿈나무어린이문고,20
옥골샘도서관,25
태화루도서관,33
함월도서관,71
약숫골도서관,191
작은도서관 그늘,20
꿈꾸는 고래 도서관,40
대공원대명루첸아파트 작은도서관,34
옹달샘 작은도서관,6
무거위브자이작은도서관,18
굴화 작은도서관,29
옥현으뜸마을 작은도서관,26
드림작은도서관,20
푸른도서관,20
신선산휴먼빌도서관,15
미소나눔도서관,40
야음롯데캐슬문고,20
마이코즈문고,40
옥현주공1단지 책마루,10
울산감리교회문고,20
옥현주공2단지문고,21
소풍 작은도서관,26
다독다독 작은도서관,40
아이파크2 작은도서관,12
아이파크1 작은도서관,63
삼호 작은도서관,40
달동 마을문고,6
대현동 마을문고,9
선암동 마을문고,50
삼산동 마을문고,8
신정4동 마을문고,12
무거동 마을문고,24
신정3동 마을문고,8
신정2동 마을문고,30
수암동 마을문고,12
남부도서관,944
월봉도서관,66
옥현어린이도서관,113
신복도서관,210
도산도서관,189
꽃바위작은도서관,25
화정작은도서관,20
전하작은도서관,34
남목작은도서관,27
동부도서관,1002
중앙도서관,447
기적의도서관,172
농소1동도서관,188
농소3동도서관,256
염포양정도서관,160
명촌어린이도서관,136
울주옹기종기도서관,168
울주선바위도서관,418
울주도서관,653
한누리작은도서관,10
은행나무작은도서관,37
동백작은도서관,16
대덕도서관,63
읍성작은도서관,26
느티나무작은도서관,16
작천정작은도서관,28
가지산작은도서관,10
웅촌작은도서관,6
늘푸름작은도서관,16
해오름작은도서관,15
범서작은도서관,12
온양작은도서관,38
책마을작은도서관,30
글마루 작은도서관,50
보수동책방골목어린이도서관,40
?다작은도서관,50
책갈피작은도서관,24
산리작은도서관,12
민들레작은도서관,70
사당솔밭도서관,280
상도국주도서관,100
동작어린이도서관,130
대방어린이도서관,50
동작샘터도서관,50
본도작은도서관,30
약수작은도서관,47
국사봉숲속작은도서관,10
나주공공도서관,1300
나주공공도서관,1300
사북공공도서관,213
강릉시립중앙도서관,464
행복한모루도서관,647
솔올꿈나무작은도서관,30
성덕반딧불작은도서관,49
LOHAS강릉작은도서관,64
어울림작은도서관,103
문화작은도서관,118
남산작은도서관,29
강릉관아작은도서관,20
옥거리작은도서관,32
초당작은도서관,56
월대산작은도서관,61
청양도서관,435
정산도서관,191
운곡면작은도서관,6
대치면작은도서관,18
목면작은도서관,10
장평면작은도서관,16
비봉면작은도서관,12
남양생명나무작은도서관,15
솔로몬작은도서관,6
청남꿈꾸는작은도서관,30
화성책카페,21
작전도서관,206
효성도서관,162
서운도서관,99
동양도서관,196
가수원도서관,372
둔산도서관,160
어린이도서관,110
갈마도서관,308
송림도서관,450
책이든거리작은도서관,16
참새작은도서관,12
청개구리작은도서관,33
꿈씨어린이작은도서관,50
도란도란작은도서관,14
해오름작은도서관,24
미래향기작은도서관,31
산돌어린이도서관,50
은행나무어린이도서관,18
책읽는마을작은도서관,18
지혜의숲작은도서관,16
꿈을키우는작은도서관,10
꿈꾸는작은도서관,10
맑은누리작은도서관,24
책읽는주민사랑방작은도서관,10
나누리작은도서관,30
금천문화복지도서관,50
금천구립시흥도서관,364
금천구립금나래도서관,321
금천구립가산도서관,360
금천구립독산도서관,198
고창공공도서관,42
순창공공도서관,189
임실공공도서관,151
장수공공도서관,166
무주공공도서관,70
진안공공도서관,209
완주공공도서관,122
부안교육문화회관,120
금산분관,92
김제교육문화회관,122
운봉분관,120
남원교육문화회관,308
정읍학생복지회관,117
함열분관,336
마한교육문화회관,146
대야분관,370
군산교육문화회관,286
전북교육문화회관,1015
계화분관,46
부안군립도서관,256
성호분관,159
고창군립도서관,158
순창군립도서관,69
임실군립도서관,150
장수군립도서관,152
무주군립도서관,54
둔산영어도서관,170
고산분관,180
삼례분관,150
완주군립중앙,150
금구분관,254
만경분관,110
전라북도 김제시립도서관,637
전라북도 남원시립도서관,180
명봉도서관,85
기적의어린이,150
신태인분관,100
정읍시립중앙도서관,326
완산시립도서관,586
전북도청도서관,150
황등분관,100
부송분관,718
마동분관,968
영등분관,838
모현시립도서관,1087
설림분관,229
늘푸른분관,220
임피분관,80
군산시립도서관,693
효자분관,297
건지분관,115
쪽구름분관,93
아중분관,129
평화분관,248
서신분관,442
송천분관,307
삼천분관,392
인후분관,332
금암분관,226
행복한 문고,8
LG메트로작은쌈지도서관,38
감만꿈터,30
감만독서문화원,10
꿈샘작은도서관,20
꿈이 자라는 작은도서관,10
대동골문화센터작은도서관,17
대천 작은도서관,20
동항작은도서관,30
들꽃이야기 작은도서관,18
로뎀나무 아래 작은 도서관,18
문현마을문고,20
부산광역시남구도서관,486
부산시여성회관 작은도서관,6
북조아 작은 도서관,30
브니엘 학습관 문고,10
산성교회문고,56
샘터꿈의도서관,30
샘터작은도서관,27
솔로몬 도서관,32
수피아,16
수학공방강장작은도서관,12
작은나무 큰숲도서관,8
작은나무숲,25
작은여울 도서관,10
참사랑도서관,20
책나루작은도서관,20
책나무그늘 작은도서관,24
청소년쉼터도서관,30
캐슬리안북카페,6
민주작은도서관,20
그림이 있는 작은도서관,25
GIC도서관,50
space秀,12
지산1동 작은도서관,16
작은도서관 오월의숲,36
무등재 작은도서관,15
두암타운작은도서관,12
소망작은도서관,30
이매진도서관,30
희망작은도서관,16
계림꿈나무도서관,108
지원2동작은도서관,34
지산2동작은도서관,14
학운동작은도서관,20
대인작은도서관,60
계림두산위브작은도서관,15
행복한작은도서관,10
교육원도서관,10
알암인권작은도서관,14
푸른길책향기작은도서관,6
대안도서관 틔움,32
산수중앙작은도서관,30
풀꽃동산작은도서관,50
북카페 영어작은도서관,10
백 암 문 고,20
파이디온작은도서관,24
은새암,21
작은도서관 숲,20
메트로열린도서관,10
옹달샘작은도서관,20
학2마을작은도서관,27
월남호반독서치유도서관,39
살레시오 작은도서관 마인,48
예향 작은도서관,21
김냇과작은도서관,20
보름달작은도서관,10
새마을문고센터,50
향파새마을작은도서관,14
토끼와거북이 리더십도서관,20
관기교회문고,15
적중문고,20
도토리와친구들어린이도서관,50
샛별도서관,25
꿈꾸는 도서관,25
희망문고,40
묘산 중앙문고,40
행복한 아이터,40
야로교회문고,15
삼가장터3.1광장도서관,26
가야아동작은도서관,20
합천유치원작은도서관,6
육아종합지원센터작은도서관,27
솔고생태도서관,24
가야작은도서관,18
야로작은도서관,18
목마도서관,70
개울도서관,36
방아다리문학도서관,84
해맞이도서관,160
영어특성화도서관,100
달마을작은도서관,60
꿈자람 작은도서관,50
고운달 작은도서관,44
고운맘 작은도서관,30
달빛마을 작은도서관,33
지양마을 작은도서관,20
그린나래작은도서관,40
호롱불작은도서관,35
고맙습니다 작은도서관,50
넓은들작은도서관,20
갈산도서관,95
신월디지털정보도서관,230
미감 작은도서관,60
중앙도서관,127
중마도서관,219
희망도서관,148
용강도서관,140
원미도서관,823
북부도서관,568
한울빛도서관,597
꿈여울도서관,382
오정도서관,556
판타스틱큐브,32
도당도서관,120
꿈틀작은도서관,40
이천행복작은도서관,14
핑크드림도서관,6
대명어울림도서관,184
이천어울림도서관,128
정남진도서관,212
함양도서관,197
완도군립도서관,255
경기화성교육도서관,357
생각마루도서관,40
온박물관 작은도서관,6
새마을문고,10
보성농어촌공공도서관,36
구미시립봉곡도서관(자료실),724
구미시립봉곡도서관(열람실),724
구미시립선산도서관(자료실),406
구미시립선산도서관(열람실),406
가좌도서관,122
강촌공원작은도서관,0
고양 포돌이 안전도서관,0
고양윤창작은도서관,0
고양작은도서관,0
관산작은도서관,0
대덕작은도서관,0
대화도서관,190
대화마을작은도서관,0
덕이도서관,168
마두도서관,397
마상공원작은도서관,0
모당공원작은도서관,0
백석도서관,234
사리현작은도서관,0
삼송도서관,110
식사도서관,194
신도작은도서관,0
신원도서관,170
아람누리도서관,0
원당도서관,270
주엽어린이도서관,0
탄현작은도서관,0
푸른마을작은도서관,0
풍동도서관,0
한뫼도서관,129
햇빛21작은도서관,0
햇빛마을작은도서관,0
행신도서관,342
행신어린이도서관,0
호수공원작은도서관,0
화전작은도서관,0
화정도서관,466
화정어린이도서관,0
평택시립도서관,554
팽성도서관,215
안중도서관,950
지산초록도서관,430
오성도서관,155
장당도서관,571
진위도서관,188
청북도서관,90
세교도서관,239
비전작은도서관,50
송탄작은도서관,46
서정작은도서관,45
포승작은도서관,65
경기도립평택도서관,400
북구디지털도서관,96
화명도서관,579
금곡도서관,97
포은중앙도서관,816
대잠도서관,130
영암도서관,352
오천도서관,302
동해석곡도서관,130
어린이영어도서관,43
죽장면 선바위 작은도서관,50
흥해읍 이팝 작은도서관,30
해도동 바다섬,40
양학동 부학,50
두호동 두무치,50
청림동 푸른숲,50
효곡동 행복,40
오천읍 해와달,30
장량동 참사랑,30
연일읍 미르,40
상대동 큰섬마을,30
대송면 큰솔,50
신광면/비학산,40
죽도동 청암,50
효곡동 그린숲,50
송도동 솔향,30
오천읍 그루터기,40
환여동 해맞이꿈터,30
기계면 버드내,40
두호동 책이랑바다랑,10
환호동 환호어린이,30
청림동 찬내,30
죽도동 맑은물,40
구룡포 미르아라,40
청하면 해아,30
장량동 다솜,40
장량동 햇살,40
효곡동 열린,40
연일읍 해돋이,50
흥해읍 내맏이,40
흥해읍 어리골,20
장량동 해뜰참,30
죽장면 참느리,25
용흥동 솔개재,40
장량동 꿈마루,30
흥해읍 참새미,24
장량동 바람숲,20
호미곶면 호미곶,12
우창동 어울,20
장기면 양포,15
그림책마을,30
수영구도서관,456
수영구도서관 망미분관,109
홍산공공도서관,211
꿈나무도서관,183
남면도서관,147
덕계도서관,130
광적도서관,187
장흥작은도서관,70
양주희망도서관,230
덕정도서관,180
고읍도서관,249
경산시립도서관,504
경산시립장산도서관,154
오산시 중앙도서관,484
오산시 초평도서관,235
오산시 햇살마루도서관,110
오산시 청학도서관,275
오산시 양산도서관,314
오산시 꿈두레도서관,370
경기평생교육학습관,2080
시립중앙도서관,798
오포도서관,366
초월도서관,549
곤지암도서관,284
능평도서관,360
오포작은도서관,17
대주작은도서관,35
퇴촌작은도서관,19
도척작은도서관,35
광남작은도서관,40
정읍중앙도서관,602
신태인도서관,100
기적의도서관,78
북면작은도서관,20
상동작은도서관,25
고부작은도서관,10
수목토작은도서관,24
문화의집작은도서관,12
옹달샘작은도서관,19
수성작은도서관,30
감골작은도서관,16
초산작은도서관,11
실버작은도서관,24
상교작은도서관,36
꿈꾸는작은도서관,33
다문화작은도서관,22
책향기작은도서관,30
화순열린도서관,300
능주면민도서관,40
세빛도서관,30
화순작은도서관,10
다사랑작은도서관,20
지혜샘어린이문고,10
늘푸른작은도서관,36
화순중앙도서관,28
꿈나무도서관,24
빛나라도서관,40
해망마을도서관,24
안심 작은도서관,24
잠정햇살마을도서관,39
능성예절도서관,15
광신프로그레시브작은도서관(너나들이도서관),12
행복미소작은도서관,15
선비마을작은도서관,12
사상도서관,95
고맙습니다 보물섬 작은도서관,81
꿈나래 작은도서관,12
다문화도서관,28
모라1동 작은도서관,40
부산광역시 여성문화회관 도서정보자료실,10
사상 작은도서관,25
샘물 작은도서관,20
어린이&가족도서관 꿈꾸는 글나라,30
엄궁 쌈지 작은도서관,16
주례쌈지작은도서관,30
포도송이 작은도서관,10
학마을작은도서관,30
한울타리 작은도서관,10
함께하는 작은도서관,30
햇살나무작은도서관,40
순창군립도서관,65
부곡글고운도서관,75
오전빛고운도서관,50
중앙도서관,1105
글로벌도서관,255
청계참고운도서관,50
내손책고운도서관,70
내손도서관,806
강서도서관,303
극동스타클래스작은도서관,140
링컨타운책벌레작은도서관,30
아인슈타인타운책벌레작은도서관,40
에디슨타운책벌레작은도서관,23
작은도서관 시민책방,50
책나무작은도서관,10
명지한신휴플러스작은도서관,60
솔마레작은도서관,107
에일린의뜰작은도서관,30
동행작은도서관,32
지사꿈꾸는작은도서관,13
대방2차Book적Book적작은도서관,62
소담북카페,13
호반베르디움작은도서관,15
휴포레작은도서관,17
명지2차금강작은도서관,35
명지두산작은도서관,40
죽변면도서관,66
울진남부도서관,181
울진작은도서관,15
근남작은도서관,14
매화작은도서관,6
기성작은도서관,15
평해작은도서관,16
온정작은도서관,32
책마루도서관,35
울림북카페,99
책방의 하루,33
작은도서관 그늘,20
꿈꾸는 고래 도서관,40
대공원대명루첸아파트 작은도서관,34
옹달샘 작은도서관,6
무거위브자이작은도서관,18
굴화 작은도서관,29
옥현으뜸마을 작은도서관,26
드림작은도서관,20
푸른도서관,20
신선산휴먼빌도서관,15
미소나눔도서관,40
야음롯데캐슬문고,20
마이코즈문고,40
옥현주공1단지 책마루,10
울산감리교회문고,20
옥현주공2단지문고,21
소풍 작은도서관,26
다독다독 작은도서관,40
아이파크2 작은도서관,12
